hex_id,bc_mean,bc_max,bc_sum,bc_n,log_bc_mean,log_bc_max
89390cb5377ffff,0.0019637732448073435,0.004631411378904136,0.025529052182495467,13,7.583132120600001,8.440832827680605
89390cb537bffff,0.0010408506136163815,0.008047565984272025,0.02706211595402592,26,6.948753846984103,8.993249215944296
89390cb5383ffff,0.0017472800789582604,0.008608997421121336,0.04368200197395651,25,7.466387771617299,9.0606792979004
89390cb5387ffff,0.006931949441242956,0.011678627145085805,0.10397924161864434,15,8.84404060643688,9.365601333362907
89390cb538bffff,0.003717095418510618,0.007844948899996818,0.05947352669616989,16,8.220966831887154,8.967752613875081
89390cb538fffff,0.001136680569263587,0.001565602215925372,0.003410041707790761,3,7.036746880436641,7.356664359412779
89390cb5393ffff,0.000968036762286818,0.0038157216084561754,0.01452055143430227,15,6.8763025495476136,8.247147115439358
89390cb5397ffff,0.00010402538550521612,0.000534751185965806,0.001560380782578242,15,4.654202087653005,6.283669848006497
89390cb539bffff,0.0005838194525513448,0.002049858320863447,0.015763125218886308,27,6.371303171479038,7.626013677609075
89390cb53a3ffff,0.0004918653889012704,0.0022104492342959027,0.006886115444617785,14,6.200236091934156,7.701403341718611
89390cb53a7ffff,0.0001311853290458149,0.00026145372345506065,0.0019677799356872237,15,4.884204945811661,5.570074774890719
89390cb53abffff,0.0003684066896203545,0.0017248559330128308,0.005157693654684963,14,5.911898177022808,7.453478399453312
89390cb53afffff,0.00021415659347462335,0.0004509535483460155,0.00192740934127161,9,5.37136610475797,6.113579405405138
89390cb53b3ffff,0.0006447290998215893,0.0018046419815976314,0.01740768569518291,27,6.470380065709372,7.498671476007084
89390cb53b7ffff,0.0005844383855105544,0.0019465758222165623,0.007597699011637207,13,6.372360943530271,7.574340710089244
89390cb53bbffff,0.001337960457193798,0.002675920914387596,0.002675920914387596,2,7.199648813659735,7.892422500456989
89390cb53c3ffff,0.005632767678054061,0.013820688337737592,0.05632767678054061,10,8.63653371188395,9.533994256121735
89390cb53c7ffff,0.00019984080995892896,0.0004068260689611258,0.0009992040497946448,5,5.3025126040150194,6.010840781945949
89390cb53cbffff,0.0012221196330846433,0.003655067019007291,0.01099907669776179,9,7.1091599502691905,8.204143263644344
89390cb53cfffff,0.0013147505492056418,0.0029550765704097555,0.010518004393645135,8,7.182162541642612,7.991618185118856
89390cb53d3ffff,0.0017866452869230883,0.0054451271928428165,0.02143974344307706,12,7.488654550662703,8.602660028238759
89390cb53d7ffff,0.0024804586988674353,0.008097424305135471,0.054570091375083576,22,7.816601851273206,8.999424791506883
89390cb53dbffff,0.004417294406061957,0.013839791142666116,0.022086472030309785,5,8.393509019619062,9.535375391025326
89390cb5403ffff,0.0009204020851001016,0.0018976726415995417,0.010124422936101118,11,6.825896515468761,7.548910311328622
89390cb5407ffff,0.0010885167379484297,0.002276417587315738,0.019593301283071733,18,6.993489517229887,7.730797442888066
89390cb5413ffff,0.0008472955484846045,0.003021745359610303,0.014404024324238276,17,6.7432290992278405,8.013920756898203
89390cb5417ffff,0.00034221806720135227,0.0008134611098729664,0.00752879747842975,22,5.8383660095887775,6.702526679662098
89390cb541bffff,0.0003399726193129358,0.0006955968034639753,0.003399726193129358,10,5.8318021787896965,6.5462067691530335
89390cb5423ffff,0.0014854416025380512,0.004400076411219715,0.02525250724314687,17,7.304140356458296,8.389604428900705
89390cb5427ffff,0.001233404438218345,0.0021501480467381964,0.00986723550574676,8,7.118343896488327,7.673756953834736
89390cb542bffff,0.0009610550408410896,0.004579451749498552,0.017298990735139613,18,6.869071664040518,8.429552907505785
89390cb542fffff,4.858480053487854e-05,6.71145213155465e-05,0.0002429240026743927,5,3.9036843459392347,4.221190425600972
89390cb5433ffff,0.0015989279274324962,0.0030738323410487442,0.01758820720175746,11,7.37771386185861,8.031005655517992
89390cb5437ffff,0.0003975007163551848,0.0010521188194466556,0.007950014327103697,20,5.987709295857725,6.959511344748816
89390cb543bffff,0.0019943625500122046,0.004431659715368207,0.02991543825018307,15,7.598581042142615,8.396755070095184
89390cb544bffff,0.0013249625903403485,0.002619058231717024,0.010599700722722788,8,7.18989395793482,7.870951822354344
89390cb545bffff,0.00040122257951542557,0.0004040880002547041,0.0008024451590308511,2,5.997005615781222,6.00410432808318
89390cb5463ffff,0.003877393506051735,0.009514534050749786,0.07367047661498297,19,8.263176302045062,9.160680905401605
89390cb5467ffff,5.860012826169024e-05,0.0002189181444808813,0.00041020089783183166,7,4.087657726110771,5.393255406575495
89390cb546bffff,0.008622694874200082,0.01023827565347512,0.06035886411940057,7,9.062268911516371,9.233986159126202
89390cb5477ffff,0.003965041866980802,0.008024706294374224,0.05154554427075043,13,8.285523865499263,8.990404955885436
